games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds
25,227,2021,35:05,8.4,18.68,1.72,4.8,4.44,5.36,0.72,5.28,6.0,4.8,0.72,0.36,2.96,2.08,22.96,0.45,0.358,0.828,227,Brandon,6.0,9.0,Ingram,F,"{'id': 19, 'abbreviation': 'NOP', 'city': 'New Orleans', 'conference': 'West', 'division': 'Southwest', 'full_name': 'New Orleans Pelicans', 'name': 'Pelicans'}",190.0
1,230,2021,9:26,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,230,Wes,6.0,7.0,Iwundu,F,"{'id': 4, 'abbreviation': 'CHA', 'city': 'Charlotte', 'conference': 'East', 'division': 'Southeast', 'full_name': 'Charlotte Hornets', 'name': 'Hornets'}",195.0
30,231,2021,26:54,5.63,13.17,1.97,5.9,3.17,3.73,1.07,4.17,5.23,1.0,0.83,1.9,1.6,3.47,16.4,0.428,0.333,0.848,231,Jaren,6.0,11.0,Jackson Jr.,F-C,"{'id': 15, 'abbreviation': 'MEM', 'city': 'Memphis', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Memphis Grizzlies', 'name': 'Grizzlies'}",242.0
29,233,2021,22:10,3.72,9.03,1.9,5.72,1.34,1.59,0.28,1.17,1.45,0.83,0.45,0.17,0.9,1.52,10.69,0.412,0.331,0.848,233,Frank,6.0,3.0,Jackson,G,"{'id': 9, 'abbreviation': 'DET', 'city': 'Detroit', 'conference': 'East', 'division': 'Central', 'full_name': 'Detroit Pistons', 'name': 'Pistons'}",205.0
29,234,2021,14:42,1.93,4.86,0.62,2.21,0.79,1.14,0.38,2.17,2.55,1.24,0.34,0.34,0.83,1.41,5.28,0.397,0.281,0.697,234,Josh,6.0,8.0,Jackson,F,"{'id': 9, 'abbreviation': 'DET', 'city': 'Detroit', 'conference': 'East', 'division': 'Central', 'full_name': 'Detroit Pistons', 'name': 'Pistons'}",200.0
1,235,2021,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,Justin,6.0,8.0,Jackson,F,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",210.0
31,236,2021,32:12,6.52,16.52,2.65,7.9,1.48,1.84,0.55,2.81,3.35,4.23,0.68,0.16,2.06,1.74,17.16,0.395,0.335,0.807,236,Reggie,6.0,3.0,Jackson,G,"{'id': 13, 'abbreviation': 'LAC', 'city': 'LA', 'conference': 'West', 'division': 'Pacific', 'full_name': 'LA Clippers', 'name': 'Clippers'}",208.0
4,301,2021,14:00,1.0,2.75,0.5,2.0,0.0,0.5,0.25,1.0,1.25,0.25,0.5,0.25,0.5,1.5,2.5,0.364,0.25,0.0,301,Wesley,,,Matthews,G-F,"{'id': 17, 'abbreviation': 'MIL', 'city': 'Milwaukee', 'conference': 'East', 'division': 'Central', 'full_name': 'Milwaukee Bucks', 'name': 'Bucks'}",
25,303,2021,34:23,7.84,18.44,3.16,8.0,1.4,2.0,1.08,2.92,4.0,4.36,1.04,0.68,1.88,2.04,20.24,0.425,0.395,0.7,303,CJ,6.0,3.0,McCollum,G,"{'id': 25, 'abbreviation': 'POR', 'city': 'Portland', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Portland Trail Blazers', 'name': 'Trail Blazers'}",190.0
24,304,2021,24:11,3.79,7.54,0.29,1.04,0.5,0.63,0.79,2.54,3.33,4.79,1.04,0.38,1.17,1.79,8.38,0.503,0.28,0.8,304,T.J.,6.0,2.0,McConnell,G,"{'id': 12, 'abbreviation': 'IND', 'city': 'Indiana', 'conference': 'East', 'division': 'Central', 'full_name': 'Indiana Pacers', 'name': 'Pacers'}",190.0
23,305,2021,24:54,4.3,9.35,1.96,5.0,0.61,0.74,0.48,1.87,2.35,1.3,0.17,0.09,0.65,1.39,11.17,0.46,0.391,0.824,305,Doug,6.0,8.0,McDermott,F,"{'id': 27, 'abbreviation': 'SAS', 'city': 'San Antonio', 'conference': 'West', 'division': 'Southwest', 'full_name': 'San Antonio Spurs', 'name': 'Spurs'}",225.0
30,306,2021,15:48,4.67,7.03,0.03,0.13,1.47,2.13,2.47,4.83,7.3,0.67,0.33,0.8,1.53,2.53,10.83,0.664,0.25,0.688,306,JaVale,7.0,0.0,McGee,C,"{'id': 24, 'abbreviation': 'PHX', 'city': 'Phoenix', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Phoenix Suns', 'name': 'Suns'}",270.0
29,307,2021,3:17,0.34,0.86,0.07,0.38,0.07,0.07,0.24,0.45,0.69,0.24,0.0,0.07,0.24,0.21,0.83,0.4,0.182,1.0,307,Rodney,6.0,4.0,McGruder,F-G,"{'id': 9, 'abbreviation': 'DET', 'city': 'Detroit', 'conference': 'East', 'division': 'Central', 'full_name': 'Detroit Pistons', 'name': 'Pistons'}",200.0
